,restaurant,cuisines,average check,number of reviews,user's rating
193,Мадам Галифе,"Восточноевропейская,Центральноевропейская,Международная,Европейская,Подходит для вегетарианцев,Для веганов",1500,254,4.5
194,ERWIN.РекаМореОкеан,"Магазин готовой еды,Русская,Румынская,Морепродукты,Европейская,Подходит для вегетарианцев,Безглютеновые блюда",1500,423,4.0
195,Хитрые люди,"Бар,Кафе,Паб,Современная,Здоровая",700,163,4.5
196,Голубка,"Итальянская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,240,4.0
197,Андиамо,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Гриль,Центральноевропейская,Подходит для вегетарианцев",1500,200,4.5
198,Пауланер Браухаус Павелецкий,"Немецкая,Бар,Европейская,Центральноевропейская",1500,523,4.0
199,Ресторан Marriott Royal Aurora,"Европейская,Международная",1500,88,4.5
200,Ресторан Casa di Famiglia,"Итальянская,Подходит для вегетарианцев,Для веганов",1500,199,4.5
201,Молоко,"Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,453,4.0
202,Марукамэ,"Японская,Фастфуд,Суши,Азиатская,Для веганов,Подходит для вегетарианцев",700,312,4.0
203,Burger Heroes,"Американская,Бар,Фастфуд,Центральноамериканская",1500,495,4.0
204,Mr. Ливанец,"Ливанская,Ближневосточная,Подходит для вегетарианцев,Для веганов,Халяль",1500,132,4.5
205,ОбедБуфет Новый Арбат,"Итальянская,Японская,Кафе,Фастфуд,Суши,Европейская,Азиатская,Ближневосточная,Русская,Супы,Восточноевропейская,Подходит для вегетарианцев,Для веганов",700,394,4.0
206,Чайхона №1,"Бар,Суши,Азиатская,Ближневосточная,Восточноевропейская,Паб,Подходит для вегетарианцев,Для веганов,Халяль",1500,383,4.0
207,Буоно,"Итальянская,Морепродукты,Европейская,Центральноевропейская,Для веганов,Безглютеновые блюда",3000,310,4.0
208,Скандинавия,"Европейская,Шведская,Скандинавская,Центральноевропейская",1500,187,4.0
209,Ткемали,"Подходит для вегетарианцев,Для веганов",1500,85,4.5
210,Калина Бар,"Японская,Бар,Суши,Итальянская,Средиземноморская,Подходит для вегетарианцев,Для веганов",3000,366,4.0
211,Саперави,"Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,83,4.5
212,Лига Пап,"Американская,Бар,Европейская,Паб,Центральноевропейская",1500,171,4.5
213,"Ресторан ""Вилла Паста""","Итальянская,Пицца,Морепродукты,Международная,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,518,4.0
214,Дипломат Бар,"Европейская,Фьюжн,Восточноевропейская",1500,38,5.0
215,Ресторан Арарат,"Барбекю,Европейская,Восточноевропейская,Армянская,Супы,Для веганов,Подходит для вегетарианцев",1500,163,4.5
216,Чайхона №1,"Европейская,Ближневосточная,Русская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,364,4.0
217,Да Пино,"Пицца,Европейская,Итальянская,Гриль,Морепродукты,Подходит для вегетарианцев",1500,202,4.5
218,Ресторан Moments,"Бар,Европейская,Центральноевропейская,Для веганов",1500,161,4.5
219,Корчма Тарас Бульба,"Русская,Супы,Подходит для вегетарианцев,Для веганов",1500,255,4.5
220,Хищник Стейкs & Burgers,"Мексиканская,Американская,Европейская,Австралийская,Русская,Стейк-хаус",1500,74,4.5
221,FARШ,"Американская,Бар,Кафе,Фастфуд,Барбекю,Европейская",1500,893,4.0
222,Ресторан ДжонДжоли,"Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,665,4.0
223,Пельмени да борщи,"Русская,Восточноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,58,5.0
224,Сыр,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская",3000,174,4.5
225,Ресторан Novikov Restaurant and Bar,"Китайская,Японская,Морепродукты,Суши,Европейская,Азиатская,Фьюжн,Подходит для вегетарианцев,Для веганов",3000,286,4.0
226,Боско бар,"Итальянская,Бар,Кафе,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,390,4.0
227,Молон Лаве,"Морепродукты,Средиземноморская,Европейская,Греческая,Современная,Подходит для вегетарианцев,Для веганов",1500,404,4.0
228,Квартира 44,"Бар,Европейская,Паб,Восточноевропейская,Центральноевропейская,Русская",1500,162,4.5
229,Ресторан Волна,"Морепродукты,Европейская,Русская,Подходит для вегетарианцев",1500,97,4.5
230,TAP & BARREL PUB,"Ирландская,Бар,Европейская,Гриль,Паб",1500,235,4.0
231,Corner Cafe&Kitchen;,"Японская,Азиатская,Кафе,Вьетнамская,Подходит для вегетарианцев",1500,68,4.5
232,Мерседес Бар,"Японская,Бар,Европейская,Центральноевропейская",3000,233,4.0
233,Brasserie Мост,"Французская,Морепродукты,Европейская,Центральноевропейская,Для веганов,Безглютеновые блюда",3000,312,4.0
234,Ресторан White Rabbit,"Современная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,2690,4.0
235,Йоркшир,"Итальянская,Европейская,Паб,Гриль",1500,110,4.5
236,The Mad Cook,"Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,119,4.5
237,Pizzamento,"Итальянская,Пицца,Международная,Современная,Супы,Подходит для вегетарианцев,Для веганов",700,82,4.5
238,Торро Гриль,"Стейк-хаус,Бар,Барбекю,Европейская,Паб,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,184,4.5
239,Омулевая бочка,"Морепродукты,Русская,Подходит для вегетарианцев",1500,143,4.5
240,Сайгон,"Кафе,Морепродукты,Азиатская,Вьетнамская,Супы,Подходит для вегетарианцев,Для веганов",700,156,4.5
241,Ресторан Дружба,"Китайская,Азиатская,Подходит для вегетарианцев",1500,292,4.0
242,Фарш,"Американская,Бар,Фастфуд,Паб",1500,253,4.0
243,Pinsa Maestrello,"Итальянская,Подходит для вегетарианцев",700,69,4.5
244,Max Brenner,"Кафе,Европейская",1500,203,4.0
245,The White Hart Pub,"Паб,Ирландская,Бар,Европейская,Британская,Центральноевропейская",1500,155,4.5
246,Twins Garden,"Русская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,127,4.5
247,Forte Bello cafe,"Итальянская,Подходит для вегетарианцев",1500,81,4.5
248,Вилла Паста,"Итальянская,Пицца,Кафе,Европейская,Винный бар,Стейк-хаус,Средиземноморская",1500,100,4.5
249,Варка,"Американская,Бар,Паб,Закусочная",1500,85,4.5
250,Сабор де ла Вида,"Французская,Европейская,Современная,Морепродукты,Средиземноморская,Подходит для вегетарианцев,Для веганов",3000,72,4.5
251,Вьетнамское кафе Во,"Вьетнамская,Азиатская,Супы,Подходит для вегетарианцев,Для веганов",700,160,4.5
252,Ля Провинция,"Итальянская,Средиземноморская,Магазин готовой еды,Подходит для вегетарианцев",3000,156,4.5
253,Скай Лондж,"Морепродукты,Средиземноморская,Европейская,Русская,Центральноевропейская,Для веганов",3000,385,4.0
254,"Чешская пивная ""Пилзнер""","Бар,Европейская,Паб,Чешская,Восточноевропейская,Центральноевропейская,Гриль",1500,369,4.0
255,Пилпили,"Европейская,Грузинская,Подходит для вегетарианцев,Для веганов",1500,126,4.5
256,Песто кафе,"Итальянская,Пицца,Кафе,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,260,4.0
257,Сыроварня,"Итальянская,Русская,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,172,4.0
258,WE Cidreria,"Французская,Бар,Европейская,Испанская,Паб,Гастропаб",1500,37,5.0
259,Paul,"Французская,Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,120,4.5
260,Порто Мальтезе,Европейская,1500,90,4.5
261,Остерия Марио,"Итальянская,Подходит для вегетарианцев",1500,62,5.0
262,Мистер Ли,"Китайская,Морепродукты,Суши,Азиатская,Сингапурская,Японская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",3000,199,4.0
263,Ресторан Воронеж,"Русская,Американская,Стейк-хаус,Европейская,Центральноевропейская",1500,844,4.0
264,LET`S Restaurant&Bar;,"Европейская,Итальянская,Американская,Средиземноморская,Современная",1500,36,5.0
265,Зотман Пицца Пай,"Американская,Итальянская,Пицца,Европейская,Для веганов,Подходит для вегетарианцев",1500,300,4.0
266,Ламберджек бар,"Американская,Бар",1500,110,4.5
267,Аченти,"Средиземноморская,Итальянская,Морепродукты,Русская",1500,97,4.5
268,Cook'kareku,"Японская,Кафе,Европейская,Британская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,756,4.0
269,Гленуилл,"Европейская,Центральноевропейская,Международная,Азиатская,Здоровая,Для веганов,Подходит для вегетарианцев",1500,140,4.5
270,Пхеньянский ресторан Корё,"Азиатская,Корейская,Гриль,Подходит для вегетарианцев,Для веганов",1500,125,4.5
271,Яффа,"Средиземноморская,Ближневосточная,Подходит для вегетарианцев,Для веганов,Кошерная,Безглютеновые блюда",1500,140,4.5
272,Мэри Джейн,"Морепродукты,Европейская,Центральноевропейская,Средиземноморская",1500,145,4.5
273,Гастропаб Pauwel KWAK,"Бельгийская,Бар,Европейская,Паб,Гастропаб,Подходит для вегетарианцев,Для веганов",1500,83,4.5
274,Roaster Coffee,"Европейская,Подходит для вегетарианцев,Для веганов",700,63,4.5
275,Узбекистан. навойи,"Азиатская,Ближневосточная,Восточноевропейская,Фьюжн,Подходит для вегетарианцев,Халяль",3000,225,4.0
276,Кухмистерская Профессора Пуфа,"Русская,Кафе,Европейская,Супы,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,232,4.0
277,Бар-ресторан СЧАСТЬЕ на Крыше,"Русская,Европейская,Подходит для вегетарианцев,Для веганов",1500,361,4.0
278,Кимчи корейский ресторан,"Японская,Азиатская,Корейская,Супы,Подходит для вегетарианцев,Для веганов",1500,237,4.0
279,Па-Паэлья,"Морепродукты,Средиземноморская,Европейская,Испанская,Винный бар,Подходит для вегетарианцев,Для веганов",1500,161,4.5
280,ЧАЙХОНА № 1,"Азиатская,Восточноевропейская,Пицца,Суши,Грузинская,Подходит для вегетарианцев,Для веганов",1500,115,4.5
281,Белуга,"Русская,Международная,Современная,Морепродукты,Центральноевропейская,Подходит для вегетарианцев",3000,111,4.5
282,Урбан Китчен,"Бар,Кафе,Международная,Европейская,Паб,Гастропаб,Подходит для вегетарианцев,Для веганов",1500,59,5.0
283,Мандарин. Лапша и Утки,"Китайская,Тайская,Азиатская,Сингапурская,Подходит для вегетарианцев,Для веганов",1500,270,4.0
284,Каса ди фамилия,"Итальянская,Европейская,Подходит для вегетарианцев,Для веганов",1500,118,4.5
285,Черетто,"Итальянская,Пицца,Средиземноморская,Европейская,Центральноевропейская,Супы,Подходит для вегетарианцев",1500,122,4.5
286,Братья Караваевы,"Кафе,Фастфуд,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,177,4.0
287,GROOT Cafe-lab,"Закусочная,Международная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,90,5.0
288,Бронко,"Европейская,Подходит для вегетарианцев,Для веганов",700,75,4.5
289,Bocconcino,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов",1500,298,4.0
290,Воронеж,Закусочная,1500,257,4.0
291,Кувшин,"Европейская,Ближневосточная,Восточноевропейская",1500,147,4.5
292,Недальний Восток,"Морепродукты,Суши,Азиатская,Японская,Фьюжн,Подходит для вегетарианцев,Для веганов",3000,187,4.5
293,Тануки,"Японская,Суши,Азиатская,Морепродукты",1500,169,4.0
294,BBCafe,"Кафе,Европейская,Русская,Центральноевропейская,Гриль,Подходит для вегетарианцев,Для веганов",1500,161,4.5
295,Чайхона №1,"Японская,Пицца,Европейская,Фьюжн,Узбекская,Подходит для вегетарианцев",1500,73,4.5
296,Простые вещи new vintage,"Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,105,4.5
297,Name,"Европейская,Русская",1500,137,4.5
298,Апрель,"Европейская,Центральноевропейская,Русская,Подходит для вегетарианцев,Для веганов",1500,94,4.5
299,Пай Поинт,"Кафе,Британская,Европейская,Подходит для вегетарианцев",1500,80,4.5
300,MEGUmi,"Японская,Морепродукты,Суши,Здоровая,Для веганов",3000,121,4.5
301,АндерСон,"Итальянская,Средиземноморская,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев",1500,84,4.5
302,Bosco Cafe,"Итальянская,Кафе,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,749,4.0
303,Траттория Венеция,"Итальянская,Пицца,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,190,4.0
304,Винный базар,"Бар,Морепродукты,Европейская,Паб,Винный бар,Центральноевропейская",1500,128,4.5
305,Дарбарс,"Индийская,Подходит для вегетарианцев,Для веганов",1500,241,4.0
306,Рюмка Водки Лепс,"Русская,Грузинская",1500,74,4.5
307,Хлеб Насущный,"Международная,Европейская,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,144,4.0
308,Brisket BBQ,"Американская,Бар,Барбекю,Центральноамериканская",1500,131,4.0
309,Пиццелов,"Итальянская,Подходит для вегетарианцев,Для веганов",1500,118,4.5
310,БирХаус,"Немецкая,Бар,Морепродукты,Европейская,Паб,Центральноевропейская,Подходит для вегетарианцев",1500,269,4.0
311,Квартира 44,"Бар,Европейская,Русская,Подходит для вегетарианцев",1500,95,4.5
312,Корчма Тарас Бульба,"Украинская,Подходит для вегетарианцев",1500,81,4.5
313,Ботаника,"Европейская,Центральноевропейская,Международная,Подходит для вегетарианцев",1500,111,4.5
314,Osteria della Piazza Bianca,"Итальянская,Пицца,Средиземноморская,Европейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,462,4.0
315,Кальянная - Барвиха Lounge,"Европейская,Подходит для вегетарианцев",1500,37,5.0
316,Bruxelles,"Бельгийская,Бар,Европейская,Паб,Центральноевропейская,Морепродукты,Подходит для вегетарианцев",1500,227,4.5
317,Пипл&Паста,"Итальянская,Морепродукты,Средиземноморская,Подходит для вегетарианцев",1500,144,4.0
318,"Паб-Ресторан ""Эрик Рыжий""","Европейская,Бар,Паб,Центральноевропейская",1500,171,4.5
319,Gayane's,"Ближневосточная,Армянская,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,158,4.5
320,Вай Мэ!,"Грузинская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,116,4.5
321,Café Russe,"Европейская,Международная,Современная,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,104,4.5
322,Чайхона №1,"Европейская,Узбекская,Японская,Пицца,Фьюжн,Подходит для вегетарианцев",1500,56,4.5
323,Эдж Вино Гриль,"Гриль,Подходит для вегетарианцев",1500,68,4.5
324,На Кранах,"Американская,Европейская,Центральноевропейская",1500,90,4.5
325,Jacky Jacky,"Европейская,Подходит для вегетарианцев",1500,73,4.5
326,Авокадо,"Европейская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,148,4.5
327,Страна которой нет,"Японская,Европейская,Азиатская,Русская,Восточноевропейская,Центральноевропейская,Международная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,609,4.0
328,Золотая Бухара,"Ближневосточная,Восточноевропейская,Узбекская,Грузинская,Фьюжн,Для веганов",1500,108,4.5
329,Джонджоли,"Супы,Восточноевропейская,Подходит для вегетарианцев,Для веганов",1500,289,4.0
330,Корчма Тарас Бульба,"Украинская,Подходит для вегетарианцев,Для веганов",1500,133,4.5
331,Му-Му,"Фастфуд,Европейская,Русская,Супы,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,270,4.0
332,Ноев ковчег,"Армянская,Европейская,Восточноевропейская",1500,137,4.5
333,Простые вещи,"Европейская,Винный бар,Центральноевропейская",1500,142,4.0
334,Ностальжи,"Европейская,Морепродукты,Международная,Средиземноморская,Центральноевропейская",3000,83,4.5
335,Долма,"Восточноевропейская,Армянская,Кавказская,Грузинская,Подходит для вегетарианцев",1500,75,4.5
336,Старая Башня,"Европейская,Русская,Супы,Восточноевропейская,Центральноевропейская",1500,220,4.0
337,Кофейня Капучинофф,"Итальянская,Международная,Подходит для вегетарианцев,Для веганов",1500,103,4.5
338,Филиал,"Европейская,Центральноевропейская,Фьюжн,Подходит для вегетарианцев",1500,138,4.5
339,MAREA,"Морепродукты,Средиземноморская,Европейская",3000,81,4.5
340,Оджахури,"Подходит для вегетарианцев,Для веганов",1500,92,4.5
341,Oxus,"Центральноазиатская,Узбекская,Подходит для вегетарианцев",1500,56,4.5
342,Чайхона №1,"Японская,Европейская,Фьюжн,Узбекская,Подходит для вегетарианцев",1500,120,4.5
343,ББ ГРИЛЬ,"Русская,Стейк-хаус,Европейская",1500,109,4.5
344,Дюшес,"Азербайджанская,Подходит для вегетарианцев,Для веганов,Халяль",1500,116,4.5
345,Бельгийская брассери '0.33',"Бельгийская,Бар,Европейская,Паб,Центральноевропейская,Гастропаб",1500,224,4.0
346,Paul,"Французская,Европейская,Кафе,Подходит для вегетарианцев",1500,148,4.0
347,Чайхона №1,"Европейская,Японская,Фьюжн,Узбекская,Подходит для вегетарианцев,Для веганов",1500,163,4.0
348,Дизенгоф99,"Израильская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,132,4.5
349,Конор Мак Несса,"Ирландская,Паб",1500,122,4.5
350,Хачапури,"Грузинская,Кафе,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,133,4.0
351,Кофейня Krispy Kreme Doughnuts,"Американская,Кафе,Фастфуд",700,181,4.0
352,Кофемания,"Кафе,Европейская,Русская,Центральноевропейская,Международная,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,534,4.0
353,Клёво,"Морепродукты,Средиземноморская,Подходит для вегетарианцев,Безглютеновые блюда",1500,156,4.5
354,CRAFTER,"Американская,Бар,Европейская,Центральноевропейская",700,76,4.5
355,Wine Religion Вино и Гастробар,"Средиземноморская,Европейская,Винный бар,Центральноевропейская,Гастропаб,Подходит для вегетарианцев",1500,277,4.5
356,Too Much Beer & Wine,"Европейская,Современная,Паб,Винный бар,Гастропаб,Восточноевропейская,Центральноевропейская",1500,88,4.5
357,Де Марко,"Итальянская,Японская,Морепродукты,Суши,Европейская,Центральноевропейская,Гриль",1500,139,4.5
358,Менза,"Китайская,Японская,Суши,Азиатская,Супы,Подходит для вегетарианцев,Для веганов",1500,207,4.0
359,23Tolstoy,"Европейская,Пицца,Гриль,Винный бар,Морепродукты,Русская,Подходит для вегетарианцев,Для веганов",1500,63,4.5
360,Cutfish,"Японская,Морепродукты,Суши,Азиатская,Подходит для вегетарианцев,Для веганов",1500,102,4.5
361,Му-Му,"Фастфуд,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,415,4.0
362,Чехов,"Европейская,Русская,Восточноевропейская,Центральноевропейская,Для веганов",1500,184,4.0
363,Колбасофф,"Немецкая,Бар,Барбекю,Европейская,Восточноевропейская,Центральноевропейская,Паб",1500,189,4.0
364,"Кафе ""Сок""","Кафе,Европейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,235,4.5
365,MEATless,"Гриль,Стейк-хаус,Барбекю,Европейская,Подходит для вегетарианцев,Для веганов",1500,230,4.0
366,Wine and Dine,"Американская,Стейк-хаус,Закусочная,Винный бар,Гастропаб",700,92,4.5
367,Бар «Стрелка»,"Бар,Европейская,Центральноевропейская,Международная,Для веганов,Подходит для вегетарианцев",1500,408,4.0
368,Anatoly Komm for Raff House,"Русская,Международная,Подходит для вегетарианцев",3000,73,4.5
369,Чича,"Японская,Перуанская,Латиноамериканская,Морепродукты,Суши,Южноамериканская,Подходит для вегетарианцев,Для веганов",1500,185,4.5
370,Starlite Diner,"Американская,Закусочная,Центральноамериканская",1500,308,4.0
371,Эль Гаучо,"Стейк-хаус,Барбекю,Европейская,Гриль,Аргентинская",3000,538,4.5
372,Кафе Батони,"Восточноевропейская,Кавказская,Грузинская,Подходит для вегетарианцев",1500,141,4.5
373,Guns & Bears Pub,"Британская,Американская,Бар,Европейская,Паб",1500,47,5.0
374,Москва-Дели,"Индийская,Здоровая,Подходит для вегетарианцев,Для веганов",1500,139,4.5
375,Сирена,"Морепродукты,Средиземноморская,Европейская,Центральноевропейская",3000,134,4.5
376,Дионис,"Китайская,Индийская,Перуанская,Европейская,Азиатская,Южноамериканская",1500,111,4.5
377,Имеджин кафе,"Азиатская,Бар,Кафе,Европейская,Подходит для вегетарианцев,Для веганов",1500,185,4.0
378,Пробка,"Бар,Европейская,Центральноевропейская",1500,128,4.5
379,Ресторан La Scarpetta,"Итальянская,Морепродукты,Средиземноморская,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,143,4.0
380,"Кафе ""Чайковский""","Итальянская,Европейская,Кафе,Русская,Подходит для вегетарианцев",1500,218,4.0
381,Арагви,"Грузинская,Европейская,Восточноевропейская,Армянская,Кавказская,Подходит для вегетарианцев,Для веганов",1500,108,4.5
382,Сыроварня,"Итальянская,Русская,Европейская,Центральноевропейская,Подходит для вегетарианцев",1500,100,4.5
383,Му-Му,"Кафе,Фастфуд,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",700,321,4.0
384,Insight,"Японская,Магазин готовой еды,Подходит для вегетарианцев",3000,78,4.5
385,Кухня Полли,"Европейская,Супы,Гриль,Здоровая,Подходит для вегетарианцев",700,113,4.5
386,Люче,"Итальянская,Морепродукты,Суши,Европейская,Центральноевропейская,Гриль,Подходит для вегетарианцев",3000,165,4.0
387,Кафе Есть хинкали & Пить вино,"Грузинская,Подходит для вегетарианцев,Для веганов",1500,155,4.0
388,Кулинарная лавка братьев Караваевых,"Европейская,Русская,Подходит для вегетарианцев",700,92,4.5
389,Ресторан Saxon + Parole,"Средиземноморская,Европейская,Гриль,Американская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,297,4.0
390,Му-Му,"Кафе,Фастфуд,Суши,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев",700,371,4.0
391,Кабинет,"Итальянская,Гриль,Фьюжн,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",1500,177,4.5
392,Гречка Лаб,"Здоровая,Русская,Подходит для вегетарианцев,Для веганов,Безглютеновые блюда",700,81,4.5
393,Hardy Lounge,"Американская,Средиземноморская,Европейская",1500,38,5.0
394,Бублик,"Кафе,Европейская,Русская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев",1500,458,4.0
395,Хлеб Насущный,"Международная,Европейская,Подходит для вегетарианцев,Для веганов",1500,129,4.0
396,Crab Meet,"Морепродукты,Азиатская",1500,184,4.0
397,Чипс,"Бар,Европейская,Центральноевропейская,Международная,Для веганов,Безглютеновые блюда",1500,355,4.0
398,Осторожно Cлон,"Индийская,Подходит для вегетарианцев,Для веганов",700,40,5.0
399,Альдебаранъ,"Европейская,Супы,Центральноевропейская,Итальянская,Французская,Подходит для вегетарианцев",1500,135,4.5
400,Панаехали,"Европейская,Восточноевропейская,Бар,Паб,Русская,Центральноевропейская,Подходит для вегетарианцев,Для веганов",1500,143,4.5
401,Винный базар,"Европейская,Восточноевропейская,Центральноевропейская,Подходит для вегетарианцев",1500,55,5.0
402,"Траттория ""EVI""",Итальянская,1500,103,4.5
403,Балкон,"Гриль,Современная,Винный бар",1500,230,4.0
404,Молли Малоун,"Ирландская,Бар,Европейская,Паб",1500,90,4.5
405,15/17 Bar&Grill;,"Ближневосточная,Подходит для вегетарианцев,Для веганов",1500,45,4.5
406,Стражек,"Бар,Европейская,Паб,Чешская",1500,166,4.0
407,Ресторан ДжонДжоли,"Европейская,Грузинская",1500,128,4.5
